# Region type : patch outlet
# Faces  :   1804
# Area   :   7.100642e-03
# Time       	sum(phi)
0.04945      	2.836264e-02
0.0495       	2.836265e-02
0.04955      	2.836266e-02
0.0496       	2.836267e-02
0.04965      	2.836268e-02
0.0497       	2.836270e-02
0.04975      	2.836269e-02
0.0498       	2.836270e-02
0.04985      	2.836271e-02
0.0499       	2.836272e-02
0.04995      	2.836274e-02
0.05         	2.836276e-02
0.05005      	2.836273e-02
0.0501       	2.836272e-02
0.05015      	2.836271e-02
0.0502       	2.836270e-02
0.05025      	2.836268e-02
0.0503       	2.836267e-02
0.05035      	2.836266e-02
0.0504       	2.836265e-02
0.05045      	2.836264e-02
0.0505       	2.836263e-02
0.05055      	2.836261e-02
0.0506       	2.836260e-02
0.05065      	2.836259e-02
0.0507       	2.836258e-02
0.05075      	2.836257e-02
0.0508       	2.836256e-02
0.05085      	2.836255e-02
0.0509       	2.836253e-02
0.05095      	2.836252e-02
0.051        	2.836253e-02
0.05105      	2.836254e-02
0.0511       	2.836254e-02
0.05115      	2.836253e-02
0.0512       	2.836254e-02
0.05125      	2.836255e-02
0.0513       	2.836256e-02
0.05135      	2.836257e-02
0.0514       	2.836258e-02
0.05145      	2.836259e-02
0.0515       	2.836260e-02
0.05155      	2.836261e-02
0.0516       	2.836260e-02
0.05165      	2.836260e-02
0.0517       	2.836260e-02
0.05175      	2.836261e-02
0.0518       	2.836261e-02
0.05185      	2.836262e-02
0.0519       	2.836263e-02
0.05195      	2.836265e-02
0.052        	2.836263e-02
0.05205      	2.836262e-02
0.0521       	2.836263e-02
0.05215      	2.836263e-02
0.0522       	2.836263e-02
0.05225      	2.836262e-02
0.0523       	2.836262e-02
0.05235      	2.836261e-02
0.0524       	2.836261e-02
0.05245      	2.836262e-02
0.0525       	2.836262e-02
0.05255      	2.836263e-02
0.0526       	2.836262e-02
0.05265      	2.836262e-02
0.0527       	2.836262e-02
0.05275      	2.836262e-02
0.0528       	2.836264e-02
0.05285      	2.836262e-02
0.0529       	2.836263e-02
0.05295      	2.836262e-02
0.053        	2.836263e-02
0.05305      	2.836263e-02
0.0531       	2.836263e-02
0.05315      	2.836262e-02
0.0532       	2.836261e-02
0.05325      	2.836260e-02
0.0533       	2.836261e-02
0.05335      	2.836260e-02
0.0534       	2.836259e-02
0.05345      	2.836258e-02
0.0535       	2.836258e-02
0.05355      	2.836259e-02
0.0536       	2.836256e-02
0.05365      	2.836255e-02
0.0537       	2.836255e-02
0.05375      	2.836253e-02
0.0538       	2.836252e-02
0.05385      	2.836251e-02
0.0539       	2.836249e-02
0.05395      	2.836248e-02
0.054        	2.836245e-02
0.05405      	2.836246e-02
0.0541       	2.836249e-02
0.05415      	2.836251e-02
0.0542       	2.836252e-02
